MODEL,CONSTRUCTION_LEVEL,DATE END,REMARKS,NQ,COST CENTER,PNR,TYPE_AUDIT_DESC,PART_DESC,SFARTNR,TURN,Cluster,REMARKS_Column1_Similarity
RWD,Serie,9-Oct-23,Scratches on bottom front passenger door frame.,3,,93901692,CPA,"Entrance, front door, right",10,B,Scratches on bottom front passenger door frame.,1
RWD,Serie,9-Oct-23,Right rear door scratched near lower door lock assembly.,3,TR1ST7,93901692,CPA,"Paint, rear-end door, right",10,B,Right rear door scratched near lower door lock assembly.,1
RWD,Serie,5-Oct-23,Front inside right door jam scratched near abutting wedge.,1,TR4ST8,93910495,CPA,"Front door, right",10,B,Front inside right door jam scratched near abutting wedge.,1
RWD,Serie,5-Oct-23,Scratches on front outside right B-pillar.,3,TR2ST5,93910495,CPA,"B-pillar, right",10,B,Scratches on front outside right B-pillar.,1
RWD,Serie,10-Oct-23,Front left door scratched near outer door handle.,3,,93917532,CPA,"Front door, left",10,B,Front left door scratched near outer door handle.,1
RWD,Serie,10-Oct-23,Front inside left door panel scratched.,3,FDPA3,93917532,CPA,"Door trim, front door, left",10,B,Front inside left door panel scratched.,1
RWD,Serie,10-Oct-23,Scratches on rear of the sliding door near the rear locking mechanism.,3,RWKST1,93907194,CPA,"Sliding door, right, inner",10,B,Scratches on rear of the sliding door near the rear locking mechanism.,1
RWD,Serie,10-Oct-23,Protective strip on front left door scratched.,3,FDPA2,93907194,CPA,"Protective strip, front door, left",10,B,Protective strip on front left door scratched.,1
RWD,Serie,27-Sep-23,Deep scratches on top of rear inside right sidewall next to panel.,3,TR3ST1,93885192,CPA,"Sidewall, right, inner",10,A,Deep scratches on top of rear inside right sidewall next to panel.,1
RWD,Serie,2-Oct-23,Multiple scratches on rear door arms attached to bracket.,3,TR2ST5,93914687,CPA,"Rear-end door, left",10,C,Multiple scratches on rear door arms attached to bracket.,1
RWD,Serie,2-Oct-23,Rear inside left grab handle at D-pillar has multiple scratches.,3,TR4ST7,93914687,CPA,"Grab handle, entrance, rear-end door, left",10,C,Rear inside left grab handle at D-pillar has multiple scratches.,1
RWD,Serie,2-Oct-23,Front right fog lamp cover scratched.,1,CHAST6,93910123,CPA,"Cover, fog lamp",10,C,Front right fog lamp cover scratched.,1
RWD,Serie,2-Oct-23,Lower left front door hinge scratched.,3,TR4ST9,93910123,CPA,"Paint, hinge, lower, front door, left",10,C,Lower left front door hinge scratched.,1
RWD,Serie,2-Oct-23,The rear left protective strip on the front arch is scratched.,1,TR4ST6,93910123,CPA,"Protective strip, rear, wheel arch, front, left",10,C,The rear left protective strip on the front arch is scratched.,1
RWD,Serie,21-Sep-23,Top of right side C-pillar scratched in sliding door jam.,3,,93884252,CPA,"C-pillar, right",10,,Top of right side C-pillar scratched in sliding door jam.,1
RWD,Serie,21-Sep-23,Scratch on left side of radiator grill.,1,CHAST6,93891273,CPA,Radiator grille,10,A,Scratch on left side of radiator grill.,1
RWD,Serie,21-Sep-23,Rear right door window scratched in multiple areas.,5,TR4ST3,93872034,CPA,"Rear window, rear-end door, right",10,,Rear right door window scratched in multiple areas.,1
RWD,Serie,21-Sep-23,Scratch on left side of radiator grill.,3,CHAST6,93872034,CPA,Radiator grille,10,,Scratch on left side of radiator grill.,1
RWD,Serie,22-Sep-23,Scratches on bottom front interior left sidewall.,3,TR1ST3,93886075,CPA,"Sidewall, left, inner",10,C,Scratches on bottom front interior left sidewall.,1
RWD,Serie,25-Sep-23,Bottom rear right door scratched at door lock cylinder guide.,3,TR1ST7,93900942,CPA,"Rear-end door, right, inside",10,C,Bottom rear right door scratched at door lock cylinder guide.,1
RWD,Serie,11-Sep-23,Scratch on sliding door below protective strip.,3,TR3ST2,93862290,CPA,"Sliding door, right",10,B,Scratch on sliding door below protective strip.,1
RWD,Serie,14-Sep-23,Scratch in inner rear right door.,1,,93883833,CPA,"Rear-end door, right, inside",10,,Scratch in inner rear right door.,1
RWD,Serie,13-Sep-23,Scratch on inside right-side C- Pillar by servo cover.,1,TR2ST2,93879088,CPA,"C-pillar, right, inner",10,,Scratch on inside right-side C- Pillar by servo cover.,1
RWD,Serie,13-Sep-23,Scratch on left side of radiator grill.,3,CHAST6,93879088,CPA,Radiator grille,10,,Scratch on left side of radiator grill.,1
RWD,Serie,13-Sep-23,License plate light cover on rear left door scratched.,1,TR1ST7,93881878,CPA,"Cover, license plate lamp",10,C,License plate light cover on rear left door scratched.,1
RWD,Serie,6-Sep-23,Inside front right B-pillar scratched by door striker.,1,TR4ST9,93862993,CPA,"B-pillar, right, inner",10,,Inside front right B-pillar scratched by door striker.,1
RWD,Serie,6-Sep-23,Rear right rim scratched.,3,SLAST1,93862993,CPA,"Disk wheel, steel, rear, right",10,,Rear right rim scratched.,1
