MODEL,CONSTRUCTION_LEVEL,DATE END,REMARKS,NQ,COST CENTER,TYPE_AUDIT_DESC,PART_DESC,DEF_DESC,Cluster,REMARKS_Column1_Similarity
RWD,Serie,9-Oct-23,Scratches on bottom front passenger door frame.,3,,CPA,"Entrance, front door, right",Kratzer,Scratches on bottom front passenger door frame.,1
RWD,Serie,9-Oct-23,Right rear door scratched near lower door lock assembly.,3,TR1ST7,CPA,"Paint, rear-end door, right",Kratzer,Right rear door scratched near lower door lock assembly.,1
RWD,Serie,5-Oct-23,Front inside right door jam scratched near abutting wedge.,1,TR4ST8,CPA,"Front door, right",Kratzer,Front inside right door jam scratched near abutting wedge.,1
RWD,Serie,5-Oct-23,Scratches on front outside right B-pillar.,3,TR2ST5,CPA,"B-pillar, right",Kratzer,Scratches on front outside right B-pillar.,1
RWD,Serie,10-Oct-23,Front left door scratched near outer door handle.,3,,CPA,"Front door, left",Kratzer,Front left door scratched near outer door handle.,1
RWD,Serie,10-Oct-23,Front inside left door panel scratched.,3,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,10-Oct-23,Scratches on rear of the sliding door near the rear locking mechanism.,3,RWKST1,CPA,"Sliding door, right, inner",Kratzer,Scratches on rear of the sliding door near the rear locking mechanism.,1
RWD,Serie,10-Oct-23,Protective strip on front left door scratched.,3,FDPA2,CPA,"Protective strip, front door, left",Kratzer,Protective strip on front left door scratched.,1
RWD,Serie,27-Sep-23,Deep scratches on top of rear inside right sidewall next to panel.,3,TR3ST1,CPA,"Sidewall, right, inner",Kratzer,Deep scratches on top of rear inside right sidewall next to panel.,1
RWD,Serie,2-Oct-23,Multiple scratches on rear door arms attached to bracket.,3,TR2ST5,CPA,"Rear-end door, left",Kratzer,Multiple scratches on rear door arms attached to bracket.,1
RWD,Serie,2-Oct-23,Rear inside left grab handle at D-pillar has multiple scratches.,3,TR4ST7,CPA,"Grab handle, entrance, rear-end door, left",Kratzer,Rear inside left grab handle at D-pillar has multiple scratches.,1
RWD,Serie,2-Oct-23,Front right fog lamp cover scratched.,1,CHAST6,CPA,"Cover, fog lamp",Kratzer,Front right fog lamp cover scratched.,1
RWD,Serie,2-Oct-23,Lower left front door hinge scratched.,3,TR4ST9,CPA,"Paint, hinge, lower, front door, left",Kratzer,Lower left front door hinge scratched.,1
RWD,Serie,2-Oct-23,The rear left protective strip on the front arch is scratched.,1,TR4ST6,CPA,"Protective strip, rear, wheel arch, front, left",Kratzer,The rear left protective strip on the front arch is scratched.,1
RWD,Serie,21-Sep-23,Top of right side C-pillar scratched in sliding door jam.,3,,CPA,"C-pillar, right",Kratzer,Top of right side C-pillar scratched in sliding door jam.,1
RWD,Serie,21-Sep-23,Scratch on left side of radiator grill.,1,CHAST6,CPA,Radiator grille,Kratzer,Scratch on left side of radiator grill.,1
RWD,Serie,21-Sep-23,Rear right door window scratched in multiple areas.,5,TR4ST3,CPA,"Rear window, rear-end door, right",Kratzer,Rear right door window scratched in multiple areas.,1
RWD,Serie,21-Sep-23,Scratch on left side of radiator grill.,3,CHAST6,CPA,Radiator grille,Kratzer,Scratch on left side of radiator grill.,1
RWD,Serie,22-Sep-23,Scratches on bottom front interior left sidewall.,3,TR1ST3,CPA,"Sidewall, left, inner",Kratzer,Scratches on bottom front interior left sidewall.,1
RWD,Serie,25-Sep-23,Bottom rear right door scratched at door lock cylinder guide.,3,TR1ST7,CPA,"Rear-end door, right, inside",Kratzer,Bottom rear right door scratched at door lock cylinder guide.,1
RWD,Serie,11-Sep-23,Scratch on sliding door below protective strip.,3,TR3ST2,CPA,"Sliding door, right",Kratzer,Scratch on sliding door below protective strip.,1
RWD,Serie,14-Sep-23,Scratch in inner rear right door.,1,,CPA,"Rear-end door, right, inside",Kratzer,Scratch in inner rear right door.,1
RWD,Serie,13-Sep-23,Scratch on inside right-side C- Pillar by servo cover.,1,TR2ST2,CPA,"C-pillar, right, inner",Kratzer,Scratch on inside right-side C- Pillar by servo cover.,1
RWD,Serie,13-Sep-23,Scratch on left side of radiator grill.,3,CHAST6,CPA,Radiator grille,Kratzer,Scratch on left side of radiator grill.,1
RWD,Serie,13-Sep-23,License plate light cover on rear left door scratched.,1,TR1ST7,CPA,"Cover, license plate lamp",Kratzer,License plate light cover on rear left door scratched.,1
RWD,Serie,6-Sep-23,Inside front right B-pillar scratched by door striker.,1,TR4ST9,CPA,"B-pillar, right, inner",Kratzer,Inside front right B-pillar scratched by door striker.,1
RWD,Serie,6-Sep-23,Rear right rim scratched.,3,SLAST1,CPA,"Disk wheel, steel, rear, right",Kratzer,Rear right rim scratched.,1
RWD,Serie,5-Sep-23,Scratched interior right sidewall alongside the middle va panel.,3,TR3ST4,CPA,"Sidewall, right, inner",Kratzer,Scratched interior right sidewall alongside the middle va panel.,1
RWD,Serie,30-Aug-23,Front right door step entrance is scratched.  Also the front right door entrance step is not flush.,3,CHAST8,CPA,"Entrance, front door, right",Kratzer,Front right door step entrance is scratched.  Also the front right door entrance step is not flush.,1
RWD,Serie,28-Aug-23,Bottom outside right sidewall scratched.,1,,CPA,"Sidewall, right",Kratzer,Bottom outside right sidewall scratched.,1
RWD,Serie,28-Aug-23,Front of left seat box scratched.,3,TR4ST8,CPA,"Seat base, front seat, left",Kratzer,Front of left seat box scratched.,1
RWD,Serie,26-Aug-23,Rear right rim scratched.,1,SLAST1,CPA,"Disk wheel, steel, rear, right",Kratzer,Rear right rim scratched.,1
RWD,Serie,18-Aug-23,Interior dome light has multiple scratches.,3,TR3ST6,CPA,Dome lamp,Kratzer,Interior dome light has multiple scratches.,1
RWD,Serie,17-Aug-23,Left side B-pillar scratched near abutting wedge.,3,TR4ST9,CPA,"B-pillar, left",Kratzer,Left side B-pillar scratched near abutting wedge.,1
RWD,Serie,17-Aug-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,17-Aug-23,Front inside right door is scratched at the bottom.,1,TR4ST9,CPA,"Front door, right",Kratzer,Front inside right door is scratched at the bottom.,1
RWD,Serie,17-Aug-23,Right side C-pillar scratched above sliding door striker.,3,SLAST5,CPA,"C-pillar, right",Kratzer,Right side C-pillar scratched above sliding door striker.,1
RWD,Serie,17-Aug-23,Left side of instrument panel scratched below steering wheel.,3,PACST3,CPA,Instrument panel,Kratzer,Left side of instrument panel scratched below steering wheel.,1
RWD,Serie,16-Aug-23,Cargo floor scratched by partition wall on left side.,1,TR1ST3,CPA,Cargo area floor,Kratzer,Cargo floor scratched by partition wall on left side.,1
RWD,Serie,16-Aug-23,Right rear wheel scratched.,1,SLAST1,CPA,"Rear wheel, right",Kratzer,Right rear wheel scratched.,1
RWD,Serie,17-Aug-23,Radio trim scratched on upper right corner.,1,PACST4,CPA,"Front plate, radio sets",Kratzer,Radio trim scratched on upper right corner.,1
RWD,Serie,17-Aug-23,Scratch on hand brake lever.,1,TR3ST3,CPA,"Cover, hand brake lever",Kratzer,Scratch on hand brake lever.,1
RWD,Serie,22-Aug-23,Right sidewall scratched at bottom of C-pillar.,3,,CPA,"Sidewall, right",Kratzer,Right sidewall scratched at bottom of C-pillar.,1
RWD,Serie,22-Aug-23,Front of left seat box scratched.,1,TR2ST4,CPA,"Seat base, front seat, left",Kratzer,Front of left seat box scratched.,1
RWD,Serie,21-Aug-23,Right side lower interior rear D-pillar is scratched.,3,TR1ST3,CPA,D-pillar,Kratzer,Right side lower interior rear D-pillar is scratched.,1
RWD,Serie,18-Aug-23,Scratch on air filter box.,1,SLAST5,CPA,"Holder, air filter",Kratzer,Scratch on air filter box.,1
RWD,Serie,18-Aug-23,Scratch on left D-pillar near upper door hinge.,3,FINST1,CPA,D-pillar,Kratzer,Scratch on left D-pillar near upper door hinge.,1
